"Time","SR_saidaT","SR_Flow"
"3.15","202.788","280"
"3.16","202.788","280"
"3.17","202.788","280"
"3.18","202.788","280"
"3.19","202.788","280"
"3.2","202.788","280"
"3.21","202.788","280"
"3.22","202.788","280"
"3.23","202.788","280"
"3.24","202.788","280"
"3.25","202.788","280"
"3.26","202.788","280"
"3.27","202.788","280"
"3.28","202.788","280"
"3.29","202.788","280"
"3.3","202.788","280"
"3.31","202.788","280"
"3.32","202.788","280"
"3.33","202.788","280"
"3.34","202.788","280"
"3.35","202.788","280"
"3.36","202.788","280"
"3.37","202.788","280"
"3.38","202.788","280"
"3.39","202.788","280"
"3.4","202.788","280"
"3.41","202.788","280"
"3.42","202.788","280"
"3.43","202.788","280"
"3.44","202.788","280"
"3.45","202.788","280"
"3.46","202.788","280"
"3.47","202.788","280"
"3.48","202.788","280"
"3.49","202.788","280"
"3.5","202.788","280"
"3.51","202.788","280"
"3.52","202.788","280"
"3.53","202.788","280"
"3.54","202.788","280"
"3.55","202.788","280"
"3.56","202.788","280"
"3.57","202.788","280"
"3.58","202.788","280"
"3.59","202.788","280"
"3.6","202.788","280"
"3.61","202.788","280"
"3.62","202.788","280"
"3.63","202.788","280"
"3.64","202.788","280"
"3.65","202.788","280"
"3.66","202.788","280"
"3.67","202.788","280"
"3.68","202.788","280"
"3.69","202.788","280"
"3.7","202.788","280"
"3.71","202.788","280"
"3.72","202.788","280"
"3.73","202.788","280"
"3.74","202.788","280"
"3.75","202.788","280"
"3.76","202.788","280"
"3.77","202.788","280"
"3.78","202.788","280"
"3.79","202.788","280"
"3.8","202.788","280"
"3.81","202.788","280"
"3.82","202.788","280"
"3.83","202.788","280"
"3.84","202.788","280"
"3.85","202.788","280"
"3.86","202.788","280"
"3.87","202.788","280"
"3.88","202.788","280"
"3.89","202.788","280"
"3.9","202.788","280"
"3.91","202.788","280"
"3.92","202.788","280"
"3.93","202.788","280"
"3.94","202.788","280"
"3.95","202.788","280"
"3.96","202.788","280"
"3.97","202.788","280"
"3.98","202.788","280"
"3.99","202.788","280"
"4","202.788","280"
"4.01","202.788","280"
"4.02","202.788","280"
"4.03","202.788","280"
"4.04","202.788","280"
"4.05","202.788","280"
"4.06","202.788","280"
"4.07","202.788","280"
"4.08","202.788","280"
"4.09","202.788","280"
"4.1","202.788","280"
"4.11","202.788","280"
